branch_name,latitude,longitude,region
6810-BENICIA,38.0713023,-122.1238281,West
6815-SAN JOSE,37.36906091,-121.9481667,West
6850-SPOKANE,47.67458516,-117.3202795,West
6865-PORTLAND,45.54716135,-122.4064069,West
6868-SACRAMENTO,38.51047639,-121.3888646,West
6871-PASCO,46.26391523,-119.0886212,West
6873-EUGENE,44.116864,-123.1860796,West
6888-BELLINGHAM,48.82043317,-122.5598546,West
6925-ANCHORAGE,61.14980292,-149.8497517,West
6950-KAPOLEI,21.30306888,-158.0997151,West
ASSC OF CA (SACRAMENTO),38.69448959,-121.7563115,West
Atlanta,33.74327588,-84.55819903,Southeast
BAY CITY,43.57934262,-83.91622828,Northeast
Beltsville,39.24026036,-76.47809769,Northeast
Chicago,41.91280063,-88.27631876,Northeast
CINCINNATI,39.31932767,-84.4700939,Northeast
Corpus,27.7879456,-97.48555036,Gulf
Detroit,42.21386165,-83.28693765,Northeast
Freeport Brand,29.21051502,-95.4390623,Gulf
Great Lakes Midwest,40.60454164,-83.0466701,Northeast
Houston,29.68588693,-95.16537116,Gulf
Huntington,38.42498563,-82.40190493,Northeast
INDIANAPOLIS,39.80786483,-86.01731154,Northeast
Linden NJ,40.41401711,-74.50937283,Northeast
Long Beach,33.86335441,-118.1558302,West
MID WEST,38.54784594,-90.44398565,West
Morgan City,29.90423809,-90.37677842,Gulf
Nashville,36.10118524,-86.65333886,Southeast
Nederland,29.96164256,-94.22583429,Gulf
NEW BRUNSWICK,45.27533,-66.00184,Canada
Philadelphia,39.86726256,-75.28886546,Northeast
San Francisco,38.20338988,-122.1481727,West
Seattle,47.89848482,-122.2730799,West
Tampa,28.00400941,-82.3818673,Southeast
Tulsa,36.08525708,-95.8674425,West
